id,type,dc\.identifier,inScheme,member,prefLabel,notation,topConceptOf,definition,hasTopConcept,note
https://data.bodemenondergrond.vlaanderen.be/id/collection/betrouwbaarheid/betrouwbaarheid,http://www.w3.org/2004/02/skos/core#Collection,be.vlaanderen.bodemenondergrond.data.id.collection.betrouwbaarheid.betrouwbaarheid,https://data.omgeving.vlaanderen.be/id/conceptscheme/betrouwbaarheid,https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/A|https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/B|https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/C,Collectie van betrouwbaarheid.,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/A,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.betrouwbaarheid.A,https://data.omgeving.vlaanderen.be/id/conceptscheme/betrouwbaarheid,null,goed,A,https://data.omgeving.vlaanderen.be/id/conceptscheme/betrouwbaarheid,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/B,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.betrouwbaarheid.B,https://data.omgeving.vlaanderen.be/id/conceptscheme/betrouwbaarheid,null,onbekend,B,https://data.omgeving.vlaanderen.be/id/conceptscheme/betrouwbaarheid,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/C,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.betrouwbaarheid.C,https://data.omgeving.vlaanderen.be/id/conceptscheme/betrouwbaarheid,null,twijfelachtig,C,https://data.omgeving.vlaanderen.be/id/conceptscheme/betrouwbaarheid,null,null,null
https://data.omgeving.vlaanderen.be/id/conceptscheme/betrouwbaarheid,http://www.w3.org/2004/02/skos/core#ConceptScheme,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.betrouwbaarheid,null,null,Codelijst betrouwbaarheid.,null,null,Indicatie van betrouwbaarheid.,https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/A|https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/B|https://data.bodemenondergrond.vlaanderen.be/id/concept/betrouwbaarheid/C,Indicatie van betrouwbaarheid.
