recordtype,id,type,dc.identifier,dc.language,dc.source,isVersionOf,hasVersion,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
CATALOG,omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-betrouwbaarheid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DATASET,omg_dataset:codelijst-betrouwbaarheid,dcat:Dataset,be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-betrouwbaarheid,nl,NA,NA,NA,Dataset codelijst betrouwbaarheid,"Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.",omg_dataset:codelijst-betrouwbaarheid,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst betrouwbaarheid,omg_conceptscheme:betrouwbaarheid,Codelijst betrouwbaarheid,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-betrouwbaarheid.html,frequency:IRREG,omg_periodoftime:dataset_omg,NA,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DATASET,omg_dataset:codelijst-betrouwbaarheid,dcat:Dataset,be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-betrouwbaarheid,nl,NA,omg_dataset:codelijst-betrouwbaarheid,NA,Dataset codelijst betrouwbaarheid,"Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.",omg_dataset:codelijst-betrouwbaarheid,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst betrouwbaarheid,omg_conceptscheme:betrouwbaarheid,Codelijst betrouwbaarheid,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-betrouwbaarheid.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_csv|omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_xsd|omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_rdf|omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_jsonld|omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_ttl|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-betrouwbaarheid,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_csv,dcat:Distribution,be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid_csv,NA,NA,NA,NA,NA,"Codelijst betrouwbaarheid, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_csv,10/09/2022,NA,NA,NA,ovo:OVO003751,NA,Codelijst betrouwbaarheid in text/csv formaat.,NA,"Codelijst betrouwbaarheid, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-betrouwbaarheid.betrouwbaarheid_csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/bodemenondergrond/codelijst-betrouwbaarheid.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_jsonld,dcat:Distribution,be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid_jsonld,NA,NA,NA,NA,NA,"Codelijst betrouwbaarheid, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_jsonld,10/09/2022,NA,NA,NA,ovo:OVO003751,NA,Codelijst betrouwbaarheid in jsonld rdf-formaat.,NA,"Codelijst betrouwbaarheid, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-betrouwbaarheid.betrouwbaarheid_jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/bodemenondergrond/codelijst-betrouwbaarheid.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_ttl,dcat:Distribution,be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid_ttl,NA,NA,NA,NA,NA,"Codelijst betrouwbaarheid, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_ttl,10/09/2022,NA,NA,NA,ovo:OVO003751,NA,Codelijst betrouwbaarheid in Turtle rdf-formaat.,NA,"Codelijst betrouwbaarheid, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-betrouwbaarheid.betrouwbaarheid_ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/bodemenondergrond/codelijst-betrouwbaarheid.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_rdf,dcat:Distribution,be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid_rdf,NA,NA,NA,NA,NA,"Codelijst betrouwbaarheid, geserialiseerd in rdf/xml bestand.",omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_rdf,10/09/2022,NA,NA,NA,ovo:OVO003751,NA,Codelijst betrouwbaarheid in xml rdf-formaat.,NA,"Codelijst betrouwbaarheid, in xml rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-betrouwbaarheid.betrouwbaarheid_rdf.html,NA,NA,NA,NA,file_type:RDF_XML,https://github.com/bodemenondergrond/codelijst-betrouwbaarheid.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid.rdf,https://www.iana.org/assignments/media-types/application/rdf+xml,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_xsd,dcat:Distribution,be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid_xsd,NA,NA,NA,NA,NA,"Codelijst betrouwbaarheid, geserialiseerd in een xsd bestand met een enumeratie.",omg_distribution:codelijst-betrouwbaarheid.betrouwbaarheid_xsd,10/09/2022,NA,NA,NA,ovo:OVO003751,NA,Codelijst betrouwbaarheid in xml/xsd formaat.,NA,"Codelijst betrouwbaarheid, in xml xsd-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-betrouwbaarheid.betrouwbaarheid_xsd.html,NA,NA,NA,NA,file_type:XSD,https://github.com/bodemenondergrond/codelijst-betrouwbaarheid.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-betrouwbaarheid.betrouwbaarheid.xsd,https://www.iana.org/assignments/media-types/application/xml,NA,NA,NA,NA
VERSIE-PACKAGE,omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-betrouwbaarheid,spdx:Package|dcat:Distribution,be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-betrouwbaarheid,NA,NA,NA,NA,NA,"Codelijst betrouwbaarheid, Jar maven package.",omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-betrouwbaarheid,13/02/2023,NA,NA,NA,ovo:OVO003751,NA,Codelijst betrouwbaarheid in jar-formaat.,NA,Package codelijst-betrouwbaarheid,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
